cycle,capacity,soh,avg_voltage,max_voltage,min_voltage,avg_current,avg_temp,max_temp,discharge_time
0,1.8564874208181574,100.0,3.5298286688693397,4.191491807505295,2.612467347907089,-1.8187019641679727,32.572328114029,38.98218133148803,197
1,1.846327249719927,99.45272071416714,3.5373201277859714,4.189773213846608,2.587208728940726,-1.8175598506612867,32.72523522519307,39.033397966787035,196
2,1.8353491942234077,98.86138595081705,3.5437367282719,4.188186735991303,2.6519168938437794,-1.8164865418840956,32.64286193755933,38.818796689817404,195
3,1.8352625275821128,98.85671763794173,3.5436661072601456,4.188461118855572,2.592947964776547,-1.8255891938692528,32.51487646204882,38.7623045063458,194
4,1.8346455082120419,98.82348178817772,3.5423432526672167,4.188298524761055,2.547419651124539,-1.8261139590277586,32.38234901543077,38.66539257343368,194
5,1.8356616600675495,98.87821697485944,3.5413347346347575,4.188815807948604,2.5209480504077413,-1.8168108743168803,32.43418218230641,38.75169504640032,195
6,1.8351461429226603,98.85044855913476,3.5410250495075215,4.18839163793879,2.487927319492314,-1.816791144707133,32.480416444757985,38.8207012322275,195
7,1.8257567905665537,98.34468955151549,3.554133296801584,4.188927891511958,2.6652049047458775,-1.8443412120754061,32.41046186109587,38.51713023385634,191
8,1.8247738529891333,98.29174345738105,3.5529355991467955,4.189029250882121,2.6038584726333673,-1.853972745505648,32.3461408313,38.526267904657,190
9,1.824613268496936,98.2830935473199,3.5512057319376997,4.189223427076418,2.552853984885676,-1.8535899338510957,32.27679750791685,38.52698128472781,190
10,1.8246195526864504,98.28343204622077,3.549292319740949,4.188916055911241,2.4724483018527317,-1.863380178294828,32.15709350345252,38.54143406601644,189
11,1.8142019357673917,97.72228539894279,3.559759220648976,4.189876247266316,2.64956413267546,-1.872968810287894,32.36407129853099,38.52197451768004,187
12,1.8137521577549054,97.69805803238793,3.558081969139198,4.189286794768804,2.5724981777366227,-1.8826095043160833,32.3181954403762,38.582485834057856,186
13,1.8134404914735822,97.68127007692816,3.555692244172496,4.188837765892728,2.5249886697730286,-1.882536787636365,32.15709029211502,38.520294134873915,186
14,1.8025980036306504,97.09723768751647,3.562746818017503,4.189110301768517,2.694621861688723,-1.8817935155260215,32.04407000314609,38.21358592965045,185
15,1.80210690024615,97.07078432300706,3.5614521756489204,4.18921207304098,2.64010141737067,-1.8921861285036712,31.931593674911532,38.1983618706913,184
16,1.802579500826209,97.09624103091467,3.5603420474985823,4.188899969428112,2.5739035098380962,-1.9027629207037406,31.941655359029298,38.31926916027133,183
17,1.8030683142834096,97.12257104811376,3.5591189041401865,4.188779799856791,2.4942396831720126,-1.9133470605822436,31.965008645476725,38.4787542519308,182
18,1.8027776247196041,97.1069130069902,3.557886771846508,4.189272591516219,2.4556793246645583,-1.9131602105481538,31.966241678512723,38.54659017774874,182
19,1.8470259949329193,99.49035873989017,3.5520375235511907,4.187614060563439,2.632142800798914,-1.8553455745575975,32.37143341978575,38.44749852224995,192
20,1.847417311283644,99.5114370594272,3.5525668436897124,4.1876287811083985,2.5027764692056795,-1.8746995273150975,32.70024990461686,38.992275791716615,190
21,1.8361774213478947,98.90599854098058,3.556794038327039,4.187447226312926,2.617507742871704,-1.873827212788385,32.32266411829938,38.51424197364312,189
22,1.8257807475776242,98.34597999985365,3.5614100044534203,4.187344026387161,2.694074478000972,-1.883193546754683,31.98795810666763,38.165816144899125,187
23,1.8251136435078368,98.31004632950896,3.5566107947817986,4.187438187636325,2.6237674644021887,-1.873239184822504,31.894456524691385,38.16526203587147,188
24,1.8255815042203762,98.33524772367372,3.5586742170266272,4.18774138117799,2.5010798299873738,-1.9139593751505897,31.78039681801023,38.27549578575718,184
25,1.8140311275083907,97.71308478400267,3.564103182686905,4.188261122540052,2.6849988185249796,-1.9030532722310995,31.688747146342205,37.982160799183106,184
26,1.8147691941158939,97.75284086310275,3.559588063594272,4.187338767288234,2.547109116468133,-1.9134590742247914,31.596747992569153,38.11100191887773,183
27,1.813969388710352,97.70975921350076,3.556833231052199,4.187560306288175,2.471314764334132,-1.913620909902553,31.565586498787077,38.18831137948753,183
28,1.802765665167823,97.10626880376819,3.5624410850948944,4.18805176248713,2.6613903306108773,-1.9025819745719061,31.59124667045208,37.998541119085836,183
29,1.804077040117352,97.17690623092355,3.5591407106855666,4.187667484260542,2.541762355407921,-1.9130621638638965,31.603485399391182,38.194201649765226,182
30,1.8518025516704486,99.74764875349146,3.5573161327793144,4.2010701773378685,2.628919415830567,-1.920618117118412,31.91556385491565,38.45796400011448,371
31,1.8307038456739428,98.61116348782737,3.561870782772737,4.1996223345495824,2.6312552691827045,-1.9298830859597569,32.081128118597164,38.49126351534004,365
32,1.8199041089501267,98.02943389447215,3.5617586337260088,4.199853323702163,2.654880745360911,-1.9293005284805407,31.849792632896243,38.31473393357882,363
33,1.8093079637028517,97.45867078945713,3.5597307651083123,4.199103467081427,2.6749688422803803,-1.923330987770314,31.465690433362017,37.861934640176806,362
34,1.80460990458052,97.20560906279802,3.5575937553540915,4.199998536865001,2.6159705726789904,-1.9284469980320087,31.40934895665031,37.90665575786083,360
35,1.7993770651972192,96.92374130950105,3.5597237883937995,4.19967522099872,2.658447162110498,-1.9231439161693824,31.902247475518077,38.34003238560517,360
36,1.7884432335370462,96.33478867036308,3.559061771422033,4.1991847248803165,2.6979426084271156,-1.9170149640438081,31.649024294808623,38.0745950590744,359
